System,Star,Distance,Stellarclass,M☉,Apparent,Absolute,Right ascension,Declination,Parallax,Notes
Luyten 726-8,Luyten 726-8 A (BL Ceti),8.791±0.012,M5.5Ve,0.102,12.54,15.40,01h 39m 01.3s,−17° 57′ 01″,371.0±0.5[7],flare star (Archetypal member)
Luyten 726-8,Luyten 726-8 B (UV Ceti),8.791±0.012,M6.0Ve,0.100,12.99,15.85,01h 39m 01.3s,−17° 57′ 01″,371.0±0.5[7],flare star (Archetypal member)
Ross 154 (V1216 Sagittarii),Ross 154 (V1216 Sagittarii),9.7035±0.0019,M3.5Ve,0.17,10.43,13.07,18h 49m 49.4s,−23° 50′ 10″,336.123±0.064[7],flare star
Ross 248 (HH Andromedae),Ross 248 (HH Andromedae),10.2903±0.0041,M5.5Ve,0.136,12.29,14.79,23h 41m 54.7s,+44° 10′ 30″,316.96±0.13[7],flare star
Epsilon Eridani (Ran),Epsilon Eridani (Ran),10.446±0.016,K2V[5],0.820,3.73#,6.19,03h 32m 55.8s,−09° 27′ 30″,312.22±0.47[7],"three circumstellar disks,two suspected planets (AEgir (debated) and c) (2000 & 2002)[24]"
Lacaille 9352 (Gliese 887),Lacaille 9352 (Gliese 887),10.7211±0.0016,M0.5V,0.486,7.34,9.75,23h 05m 52.0s,−35° 51′ 11″,304.219±0.045[7],"two planets, b and c, with equivocal evidence for a third in the habitable zone (2020)[25]"
Ross 128 (FI Virginis),Ross 128 (FI Virginis),11.0074±0.0026,M4.0Vn,0.168,11.13,13.51,11h 47m 44.4s,+00° 48′ 16″,296.307±0.070[7],"flare star, one planet (b) (2017)[26]"
"EZ Aquarii(Gliese 866, Luyten 789-6)",EZ Aquarii A,11.109±0.034,M5.0Ve,0.11,13.33,15.64,22h 38m 33.4s,−15° 17′ 57″,293.60±0.9[27],A & B flare stars
"EZ Aquarii(Gliese 866, Luyten 789-6)",EZ Aquarii B,11.109±0.034,M?,0.11,13.27,15.58,22h 38m 33.4s,−15° 17′ 57″,293.60±0.9[27],A & B flare stars
"EZ Aquarii(Gliese 866, Luyten 789-6)",EZ Aquarii C,11.109±0.034,M?,0.10,14.03,16.34,22h 38m 33.4s,−15° 17′ 57″,293.60±0.9[27],A & B flare stars
61 Cygni,61 Cygni A (BD+38°4343),11.4008±0.0012,K5.0V[5],0.70,5.21#,7.49,21h 06m 53.9s,+38° 44′ 58″,286.08±0.03[7],"B flare star and brightest red dwarf in night sky, first star (besides Sun) to have measured distance[28]possible circumstellar disk."
61 Cygni,61 Cygni B (BD+38°4344),11.4008±0.0012,K7.0V[5],0.63,6.03#,8.31,21h 06m 55.3s,+38° 44′ 31″,286.08±0.03[7],"B flare star and brightest red dwarf in night sky, first star (besides Sun) to have measured distance[28]possible circumstellar disk."
Procyon(α Canis Minoris),Procyon A,11.402±0.032,F5IV–V[5],1.499,0.38#,2.66,07h 39m 18.1s,+05° 13′ 30″,286.05±0.81[10][11],
Procyon(α Canis Minoris),Procyon B,11.402±0.032,DQZ[5],0.602,10.70,12.98,07h 39m 18.1s,+05° 13′ 30″,286.05±0.81[10][11],
"Struve 2398(Gliese 725, BD+59°1915)",Struve 2398 A (HD 173739),11.4880±0.0012,M3.0V[5],0.334,8.90,11.16,18h 42m 46.7s,+59° 37′ 49″,283.91±0.03[7],"flare stars, star B has 2 known planets[14]"
"Struve 2398(Gliese 725, BD+59°1915)",Struve 2398 B (HD 173740),11.4880±0.0012,M3.5V[5],0.248,9.69,11.95,18h 42m 46.9s,+59° 37′ 37″,283.91±0.03[7],"flare stars, star B has 2 known planets[14]"
Groombridge 34(Gliese 15),Groombridge 34 A (GX Andromedae),11.6182±0.0008,M1.5V[5],0.38,8.08,10.32,00h 18m 22.9s,+44° 01′ 23″,280.73±0.02[7],"flare star, two suspected planets (Ac, 2017) and Ab, 2014)[29]"
Groombridge 34(Gliese 15),Groombridge 34 B (GQ Andromedae),11.6182±0.0008,M3.5V[5],0.15,11.06,13.30,00h 18m 22.9s,+44° 01′ 23″,280.73±0.02[7],flare star
DX Cancri (G 51-15),DX Cancri (G 51-15),11.6780±0.0056,M6.5Ve,0.09,14.78,16.98,08h 29m 49.5s,+26° 46′ 37″,279.29±0.13[7],flare star
Tau Ceti (BD−16°295),Tau Ceti (BD−16°295),11.753±0.022,G8.5Vp[5],0.783,3.49#,5.68,01h 44m 04.1s,−15° 56′ 15″,277.52±0.52[7],"one debris diskfour confirmed planets (e, f, g, and h) (2012, 2017),four candidate planets (b, c, d, and ""i"") (2012, 2019), and 1 predicted planet (2020)."
